Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,0,34,3,1,0,0,0,0,4,3895,3895,0,0,0,0,0
0,0,103,5,1,0,0,0,0,5,2660,2660,0,0,0,0,0
0,0,24,3,0,0,0,0,0,4,2175,2175,0,0,0,0,0
0,0,24,2,0,0,0,0,0,4,2695,2695,0,0,0,0,0
0,0,49,7,1,0,0,0,0,5,8501,8501,0,0,0,0,0
0,0,40,5,1,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,29,3,0,0,0,0,0,3,2872,2872,0,0,0,0,0
0,0,34,4,0,0,0,0,0,7,7655,7655,0,0,0,0,0
0,0,64,6,2,0,0,1,1,7,-1,-1,0,0,0,0,0
0,0,38,3,0,0,0,0,0,4,2689,2689,0,0,0,0,0
0,0,25,3,0,0,0,0,0,3,2063,2063,0,0,0,0,0
0,0,58,4,1,0,1,0,0,5,7616,7616,0,0,0,0,0
0,0,29,2,0,0,1,0,0,5,7296,7296,0,0,0,0,0
0,0,30,3,0,0,1,1,0,2,4638,4638,0,0,0,0,0
1,0,71,6,2,0,0,1,0,6,8276,8276,0,0,0,0,0
0,0,58,3,1,0,0,0,0,5,6137,6137,0,0,0,0,0
0,0,56,3,0,0,0,0,0,8,7447,7447,0,0,0,0,0
0,0,36,4,1,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,38,3,1,0,0,0,0,3,7667,7667,0,0,0,0,0
0,0,26,3,0,0,0,0,0,2,1951,1951,0,0,0,0,0
0,0,32,3,0,0,0,0,0,2,1776,1776,0,0,0,0,0
0,0,67,5,0,0,0,0,0,4,33,33,0,0,0,0,0
0,0,27,3,0,0,0,0,0,4,4724,4724,0,0,0,0,0
0,0,70,6,1,0,0,1,0,3,5304,5304,0,0,0,0,0
0,0,31,3,0,0,0,0,0,8,7449,7449,0,0,0,0,0
0,0,54,4,0,0,0,0,0,5,12794,12794,0,0,0,0,0
0,0,29,3,0,0,0,1,0,1,-1,-1,0,0,0,0,0
0,0,38,3,0,0,0,0,0,7,8121,8121,0,0,0,0,0
0,0,20,3,0,0,0,0,0,5,4054,4054,0,0,0,0,0
0,0,27,3,1,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,63,4,0,0,0,0,0,7,9172,9172,0,0,0,0,0
0,0,73,5,2,0,0,0,0,4,6560,6560,0,0,0,0,0
0,0,30,3,0,0,0,0,0,4,4660,4660,0,0,0,0,0
0,0,25,3,0,0,0,0,0,1,7143,7143,0,0,0,0,0
0,0,23,3,0,0,0,0,0,10,7490,7490,0,0,0,0,0
0,0,28,3,0,0,0,0,0,3,2070,2070,0,0,0,0,0
0,0,36,4,0,0,0,0,0,5,2247,2247,0,0,0,0,0
0,0,58,5,1,0,0,0,0,4,8685,8685,0,0,0,0,0
0,0,66,5,0,0,0,0,0,3,3040,3040,0,0,0,0,0
0,0,44,4,1,0,0,0,0,6,9201,9201,0,0,0,0,0
0,0,18,3,1,0,0,0,0,2,1001,1001,0,0,0,0,0
0,0,46,4,0,0,0,0,0,7,7431,7431,0,0,0,0,0
0,0,25,3,0,0,0,0,0,1,2288,2288,0,0,0,0,0
0,0,37,3,0,0,0,0,0,8,5159,5159,0,0,0,0,0
0,0,52,5,1,0,0,0,0,6,2911,2911,0,0,0,0,0
0,0,26,3,0,0,0,0,0,4,7461,7461,0,0,0,0,0
0,0,25,3,0,0,0,0,0,2,3098,3098,0,0,0,0,0
0,0,32,4,0,0,0,1,0,4,2899,2899,0,0,0,0,0
0,0,35,4,0,0,1,1,0,0,-1,-1,0,0,0,0,0
0,0,101,5,1,0,0,0,0,5,4843,4843,0,0,0,0,0
0,0,30,2,0,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,90,3,1,0,0,0,0,6,11046,11046,0,0,0,0,0
0,0,37,4,0,0,0,0,0,7,7132,7132,0,0,0,0,0
0,0,39,4,1,0,0,0,0,5,9188,9188,0,0,0,0,0
0,0,25,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,50,4,1,0,0,0,0,4,2686,2686,0,0,0,0,0
0,0,25,2,0,0,0,0,0,2,-1,-1,0,0,0,0,0
0,0,22,3,0,0,0,0,0,4,3071,3071,0,0,0,0,0
0,0,40,4,2,0,0,0,0,5,5411,5411,0,0,0,0,0
0,0,60,5,0,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,33,3,1,0,0,0,0,2,2026,2026,0,0,0,0,0
0,0,67,6,0,0,0,0,0,5,6891,6891,0,0,0,0,0
0,0,24,3,0,0,0,0,0,4,-1,-1,0,0,0,0,0
0,0,54,6,2,0,0,0,0,6,9227,9227,0,0,0,0,0
0,0,70,5,1,0,0,0,0,7,5132,5132,0,0,0,0,0
0,0,24,3,0,0,0,0,0,3,6149,6149,0,0,0,0,0
1,0,54,4,0,0,0,0,0,9,4672,4672,0,0,0,0,0
0,0,66,5,0,0,0,0,0,5,6133,6133,0,0,0,0,0
0,0,29,3,0,0,0,0,0,2,5577,5577,0,0,0,0,0
1,0,78,5,1,0,0,1,0,4,3578,3578,0,0,0,0,0
1,0,44,5,2,0,0,0,0,3,7156,7156,0,0,0,0,0
0,0,45,4,0,0,0,0,0,7,7134,7134,0,0,0,0,0
0,0,63,4,0,0,0,0,0,5,7522,7522,0,0,0,0,0
0,0,58,4,1,0,0,0,0,5,2939,2939,0,0,0,0,0
0,0,23,3,1,0,0,0,0,3,4372,4372,0,0,0,0,0
0,0,23,3,0,0,0,0,0,0,1739,1739,0,0,0,0,0
0,0,58,4,1,0,1,0,0,5,7615,7615,0,0,0,0,0
1,0,78,6,1,0,0,1,0,3,-2,-2,0,0,0,0,0
0,0,57,4,1,0,0,0,0,4,4655,4655,0,0,0,0,0
0,0,30,3,0,0,0,0,0,5,5379,5379,0,0,0,0,0
0,0,46,6,1,0,0,0,0,5,-1,-1,0,0,0,0,0
0,0,18,3,0,0,0,0,0,4,4597,4597,0,0,0,0,0
0,0,22,3,0,0,0,0,0,3,3897,3897,0,0,0,0,0
0,0,28,3,0,0,0,0,0,4,5302,5302,0,0,0,0,0
0,0,28,2,0,0,0,0,0,4,5905,5905,0,0,0,0,0
0,0,58,3,1,0,0,0,0,5,4323,4323,0,0,0,0,0
0,0,17,3,0,0,0,0,0,3,7640,7640,0,0,0,0,0
1,0,68,3,2,0,0,0,0,6,7922,7922,0,0,0,0,0
0,0,21,3,0,0,0,0,0,3,-1,-1,0,0,0,0,0
0,0,19,2,0,0,0,0,0,1,4680,4680,0,0,0,0,0
0,0,61,5,2,0,1,0,0,6,5197,5197,0,0,0,0,0
0,0,28,3,0,0,0,0,0,3,3633,3633,0,0,0,0,0
0,0,21,2,0,0,0,0,0,0,-1,-1,0,0,0,0,0
0,0,44,3,1,0,0,0,0,5,7584,7584,0,0,0,0,0
0,0,46,3,0,0,1,0,0,5,7299,7299,0,0,0,0,0
0,0,42,3,0,0,0,0,0,2,3630,3630,0,0,0,0,0
0,0,62,4,1,0,0,0,0,5,3329,3329,0,0,0,0,0
0,0,43,4,1,0,0,0,0,5,6465,6465,0,0,0,0,0
1,0,29,3,0,0,0,0,0,4,8724,8724,0,0,0,0,0
0,0,91,5,1,0,0,1,0,4,4097,4097,0,0,0,0,0
0,0,25,3,0,0,0,0,0,2,2850,2850,0,0,0,0,0
0,0,103,4,0,0,0,0,0,4,3453,3453,0,0,0,0,0
